seed,dimension,family,trial,translation_error,relative_error,additive_control_shift
1,2,simplex,12,4.440892098500626e-16,1.3322676295501878e-15,2.715520021274683
1,2,simplex,13,8.881784197001252e-16,0.0,1.3766522622525343
1,2,simplex,14,3.1086244689504383e-15,1.3322676295501878e-15,2.8607883556632228
1,2,simplex,15,1.7763568394002505e-15,0.0,2.859439440929229
1,2,simplex,16,2.6645352591003757e-15,1.7763568394002505e-15,0.2373002266769504
1,2,simplex,17,1.7763568394002505e-15,0.0,1.701122739925232
1,2,simplex,18,1.3322676295501878e-15,0.0,0.16001721611568698
1,2,simplex,19,0.0,2.220446049250313e-15,8.701477893784368
1,2,random,0,0.0,0.0,1.53574624335225
1,2,random,1,8.881784197001252e-16,1.3322676295501878e-15,4.837713097838359
1,2,random,2,4.440892098500626e-16,4.440892098500626e-16,1.5210920829116468
1,2,random,3,0.0,0.0,0.057584125578678425
1,2,random,4,0.0,0.0,1.9847929200802845
1,2,random,5,1.7763568394002505e-15,0.0,1.4146103955752931
1,2,random,6,1.7763568394002505e-15,3.552713678800501e-15,0.3136682424227608
1,2,random,7,1.7763568394002505e-15,2.220446049250313e-15,2.8464500048712225
1,2,random,8,8.881784197001252e-16,2.6645352591003757e-15,1.5805052765736676
1,2,random,9,8.881784197001252e-16,2.220446049250313e-15,1.206992995409074
1,2,random,10,2.6645352591003757e-15,0.0,6.053589817053549
1,2,random,11,0.0,1.7763568394002505e-15,0.3532371350374319
1,2,random,12,1.7763568394002505e-15,3.552713678800501e-15,0.4002548168969149
1,2,random,13,4.440892098500626e-16,4.440892098500626e-16,0.15961859131609657
1,2,random,14,0.0,1.7763568394002505e-15,4.796639095544547
1,2,random,15,0.0,3.552713678800501e-15,1.5800639159618441
1,2,random,16,8.881784197001252e-16,0.0,0.949071446928853
1,2,random,17,8.881784197001252e-16,0.0,5.380874035162048
1,2,random,18,4.440892098500626e-16,1.3322676295501878e-15,1.9036162062433348
1,2,random,19,8.881784197001252e-16,8.881784197001252e-16,5.921564476228854
1,3,simplex,0,1.7763568394002505e-15,1.7763568394002505e-15,0.7835305656472933
1,3,simplex,1,8.881784197001252e-16,1.7763568394002505e-15,0.3986014707410561
1,3,simplex,2,1.7763568394002505e-15,0.0,1.2978597135751677
1,3,simplex,3,1.7763568394002505e-15,4.440892098500626e-16,0.7755642460630376
1,3,simplex,4,0.0,4.440892098500626e-16,1.8911432579166814
1,3,simplex,5,1.7763568394002505e-15,1.7763568394002505e-15,2.543252786554646
1,3,simplex,6,2.6645352591003757e-15,0.0,0.7797386953803311
1,3,simplex,7,8.881784197001252e-16,0.0,2.5582191017173024
1,3,simplex,8,8.881784197001252e-16,8.881784197001252e-16,1.2501505798788415
1,3,simplex,9,1.7763568394002505e-15,2.6645352591003757e-15,0.01761648056498899
1,3,simplex,10,1.7763568394002505e-15,1.7763568394002505e-15,0.6379458647853404
1,3,simplex,11,1.7763568394002505e-15,1.7763568394002505e-15,0.4782630594076167
1,3,simplex,12,0.0,1.7763568394002505e-15,1.4465075129691236
1,3,simplex,13,2.6645352591003757e-15,0.0,3.1139460344114696
1,3,simplex,14,4.440892098500626e-16,3.552713678800501e-15,1.3330680648762616
1,3,simplex,15,1.1657341758564144e-15,2.0539125955565396e-15,3.7108282566056445
1,3,simplex,16,1.7763568394002505e-15,2.6645352591003757e-15,0.14200574981701308
1,3,simplex,17,3.552713678800501e-15,1.7763568394002505e-15,1.219108945677938
1,3,simplex,18,1.7763568394002505e-15,1.7763568394002505e-15,0.6487392009052115
1,3,simplex,19,1.7763568394002505e-15,1.7763568394002505e-15,1.733837852330275
1,3,random,0,4.440892098500626e-16,5.551115123125783e-16,4.3294653714330344
1,3,random,1,7.105427357601002e-15,0.0,2.9290983083048197
1,3,random,2,1.7763568394002505e-15,0.0,0.5466878312907397
1,3,random,3,0.0,4.440892098500626e-16,4.897331123717224
1,3,random,4,2.6645352591003757e-15,0.0,1.4163665090269362
1,3,random,5,3.552713678800501e-15,0.0,0.661288890203231
1,3,random,6,3.552713678800501e-15,0.0,3.7419839364451377
1,3,random,7,8.881784197001252e-16,2.6645352591003757e-15,4.172322341007913
1,3,random,8,2.6645352591003757e-15,8.881784197001252e-16,2.6212393627855057
1,3,random,9,2.6645352591003757e-15,2.6645352591003757e-15,0.878838156284715
1,3,random,10,0.0,3.552713678800501e-15,5.132082400619488
1,3,random,11,2.220446049250313e-16,2.220446049250313e-16,1.1996826328702532
1,3,random,12,1.7763568394002505e-15,1.7763568394002505e-15,1.2692141514676294
1,3,random,13,2.6645352591003757e-15,1.7763568394002505e-15,4.528103753625562
1,3,random,14,8.881784197001252e-16,1.7763568394002505e-15,0.3073128033935575
1,3,random,15,0.0,0.0,0.07134583958698748
1,3,random,16,1.3322676295501878e-15,4.440892098500626e-16,2.275137713596717
1,3,random,17,1.3322676295501878e-15,0.0,1.7665595330557764
1,3,random,18,8.881784197001252e-16,8.881784197001252e-16,1.988716232828601
1,3,random,19,4.440892098500626e-16,8.881784197001252e-16,0.6828141135953523
1,4,simplex,0,1.7763568394002505e-15,1.7763568394002505e-15,0.5002452372298691
1,4,simplex,1,3.552713678800501e-15,1.7763568394002505e-15,3.543599303928545
1,4,simplex,2,3.1086244689504383e-15,1.3322676295501878e-15,2.4663383522741285
1,4,simplex,3,5.329070518200751e-15,5.329070518200751e-15,1.212618075456895
1,4,simplex,4,1.7763568394002505e-15,1.7763568394002505e-15,0.001088631596260825
1,4,simplex,5,8.881784197001252e-16,3.552713678800501e-15,0.44772830127899965
1,4,simplex,6,2.6645352591003757e-15,8.881784197001252e-16,1.9541360054487882
1,4,simplex,7,8.881784197001252e-16,8.881784197001252e-16,1.1607077845571965
1,4,simplex,8,3.552713678800501e-15,0.0,0.8888564447006218
1,4,simplex,9,1.3322676295501878e-15,4.440892098500626e-16,3.2312305590406254
1,4,simplex,10,0.0,3.552713678800501e-15,0.530310852221362
1,4,simplex,11,3.552713678800501e-15,3.552713678800501e-15,3.5434353554202573
